OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
249,SA100369,"Vicarage, The",Subdivision,35.914619,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5361.313157,1564461.058257
250,SA100372,Village at Thornhill,Townhomes,7.0887,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,1986,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2600.546895,308783.764133
251,SA100460,Villas of Johns Creek,Townhomes,13.492075,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2009,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4402.323676,587714.779606
252,SA100502,Wellsley,Townhomes,8.877082,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2986.260737,386685.67699
253,SA100495,Willow Royal,Subdivision,1.798694,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1366.68721,78351.121489
254,SA100374,Windermere Park,Subdivision,33.54976,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5668.143526,1461445.443388
255,SA100475,Winfield on the River,Subdivision,84.471763,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),8986.27138,3679533.443944
256,SA100492,Winthrop Park,Subdivision,11.344769,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4205.127842,494180.537132
257,SA100376,Woodridge,Subdivision,10.171967,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2825.759613,443032.225438
258,SA100470,Woodvale,Subdivision,11.146128,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2930.041916,484938.320369
259,SA100478,Wyngate,Subdivision,10.552789,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3339.712716,459676.599789
260,SA100524,"Reserve at Autry Mill, The",Subdivision,8.62,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,2014,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2978.098774,434114.136711
261,SA100525,Findley Cove,Subdivision,1.455319,Findley Oaks Elementary School,River Trail Middle School,Northview High School,2014,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1038.135331,63393.472695
262,SA100526,Byers Landing,Subdivision,3.137,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,2014,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1441.43298,115130.212923
263,SA100528,Meadowview at Bellmoore Park,Subdivision,17.411481,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5160.85676,756875.389338
264,SA100529,Bridgeview at Bellmoore Park,Subdivision,16.904352,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4726.138926,731533.843278
265,SA100530,Brookview at Bellmoore Park,Subdivision,17.120543,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4040.133561,746642.152515
266,SA100531,"Woodlands at Bellmoore Park, The",Subdivision,27.706191,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5723.752107,1206876.868183
267,SA100532,Twin Creeks at Bellmoore Park,Subdivision,23.197459,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4146.944466,1010477.274402
268,SA100533,Easthaven,Subdivision,38.670763,Shakerag Elementary School,River Trail Middle School,Northview High School,2014,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),5532.614887,1649352.416306
269,SA100522,Greenwich Park,Subdivision,12.314368,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,2014,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3679.594391,526551.075576
270,SA100534,Cameron Parc,Mixed,12.450635,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,2015,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3512.396269,514255.181677
271,SA100396,North Fulton Estates,Subdivision,32.661277,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6126.52732,1058078.822754
272,SA100535,Brookmere at Johns Creek,Mixed,52.366317,Shakerag Elementary School,River Trail Middle School,Northview High School,2014,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),8279.673716,2264047.458423
273,SA100536,Adair Manor,Subdivision,32.891589,Shakerag Elementary School,River Trail Middle School,Northview High School,2015,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4713.22691,1432749.502235
274,SA100537,Londonberry,Townhomes,6.04933,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,2015,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2483.436753,263507.804957
275,SA100540,Abbotts Square,Townhomes,6.954136,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,2015,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2339.479067,302920.962174
276,SA100541,Shakerag Manor,Subdivision,18.502626,Shakerag Elementary School,River Trail Middle School,Northview High School,2015,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4957.155612,805971.153821
