OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,MedianAge2015,TotalHH2015,MedianHHIncome2015,Ed25Older2015_onlyHS,Ed25Older2015_uptoBachelors,Ed25Older2015_uptoGradDegree,MedianHomeValue2015,VehiclesPerHouse2015,AvgTravelTimeToWorkRelative,DiversityIndex2015,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Ed25Older2015_TotalPop,Ed25Older2015_onlyHS_PerOfTotal,Ed25Older2015_uptoBachelors_Per,Ed25Older2015_uptoGradDegree_Pe,Ed25Older2015_onlyHS_PerOfTot_1,Ed25Older2015_uptoBachelors_P_1,Ed25Older2015_uptoGradDegree__1,MedianHHIncome2015_AmtFromMedia,MedianHHIncome2015_PerFromMedia,Score_MedianAge,Score_TotalHH2015,Score_MedianHHIncome2015,Score_MedianHomeValue2015,Score_VehiclesPerHouse2015,Score_DiversityIndex,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Score_Education_onlyHS,Score_Education_upToBachelors,Score_Education_upToGradDegree,Shape_Length,Shape_Area
31,SA100265,Chartwell,Subdivision,123.09085908,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,2000,No,No,980,737,152,503,82,42.5,300,154069,38,256,183,575000,0,0,38.3,20.6241,68.2496,11.1261,0.302981,1.002631,0.16345,1.4697,477,7.9664,53.6687,38.3647,1.008224,1.506768,1.787109,38193.60432,32.9609267712761,2 - Average,2 - Average,3 - High,3 - High,(no data),2 - Average,2 - Average,2 - Average,1 - Low,2 - Average,2 - Average,2 - Average,10445.5760820578,5361823.6138686
32,SA100493,Chelsea Ridge Apartments,Apartments,35.57608745,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,251,189,28,142,19,34.9,114,105082,13,69,29,291667,3,3,65,14.8148,75.1322,10.0529,0.055812,0.283048,0.037872,0.3764,111,11.7117,62.1621,26.1261,0.344919,0.406121,0.283203,-10793.395683,-9.31465702393583,1 - Low,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6247.48356684722,1549694.43302652
33,SA100425,Chessington Chase,Subdivision,11.16375337,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,74,54,19,32,3,40,24,118695,9,13,9,475000,0,0,66.2,35.1851,59.2592,5.5555,0.037872,0.063785,0.005979,0.1109,31,29.0322,41.9354,29.0322,0.23879,0.076515,0.08789,2819.604317,2.43330717481525,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,2816.97598121639,486234.596143401
34,SA100268,Churchill Downs,Subdivision,17.17277348,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,261,186,60,110,16,35.4,88,102188,22,67,21,298214,3,0,70.5,32.258,59.1397,8.6021,0.119598,0.219263,0.031892,0.3914,110,20,60.909,19.0909,0.583709,0.394349,0.205078,-13687.395683,-11.8121673736887,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3946.99437510318,745176.879654385
35,SA100407,Coldstream Courts,Subdivision,12.27663307,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,66,50,12,35,3,49.5,20,104262,8,15,15,553571,0,0,52.3,24,70,6,0.023919,0.069765,0.005979,0.0989,38,21.0526,39.4736,39.4736,0.212257,0.088287,0.146484,-11613.395683,-10.0223137228983,2 - Average,1 - Low,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3342.46860789365,534767.986874458
36,SA100446,Colony Glen,Subdivision,42.76363575,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,445,338,100,211,27,37.4,153,98403,25,94,43,296875,0,3,57.6,29.5857,62.426,7.9881,0.19933,0.420586,0.053819,0.6673,162,15.432,58.0246,26.5432,0.663305,0.553266,0.419921,-17472.39568,-15.0786071365825,2 - Average,2 - Average,2 - Average,1 - Low,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6996.55010214176,1862667.81569342
37,SA100283,Concord Hall,Subdivision,62.54765897,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,956,697,192,491,14,36.1,311,122935,46,240,120,401923,3,3,57.3,27.5466,70.4447,2.0086,0.382714,0.978711,0.027906,1.4337,406,11.33,59.1133,29.5566,1.220482,1.412595,1.171875,7059.604317,6.09241010603575,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,2 - Average,2 - Average,1 - Low,2 - Average,1 - Low,1 - Low,8050.21003701258,2724552.65905631
38,SA100480,"Country Club of the South, The",Subdivision,903.41539427,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,Yes,Yes,1897,1458,380,961,117,45.3,645,193393,56,540,379,956801,2,0,37.2,26.0631,65.9122,8.0246,0.757454,1.915563,0.233216,2.845,975,5.7435,55.3846,38.8717,1.485805,3.17834,3.701171,77517.604317,66.8973804663975,2 - Average,3 - High,3 - High,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,31035.3154120001,39345316.5688934
39,SA100319,Creekside,Subdivision,28.12721807,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,266,193,68,116,9,39.5,76,116684,33,46,32,465385,0,0,65.9,35.2331,60.1036,4.6632,0.135544,0.231223,0.017939,0.3989,111,29.7297,41.4414,28.8288,0.875563,0.270747,0.3125,808.604317000005,0.697822270408553,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5109.62955048272,1225118.82638594
40,SA100261,Creekside Crossing,Subdivision,90.95043017,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,50,38,8,26,4,36.3,16,89790,3,9,10,366667,3,3,61.8,21.0526,68.421,10.5263,0.015946,0.051825,0.007973,0.0749,22,13.6363,40.909,45.4545,0.079596,0.052972,0.097656,-26085.39568,-22.5115914636113,2 - Average,1 - Low,1 - Low,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,9058.88695073103,3956229.62380196
41,SA100276,Donamere,Subdivision,37.78822844,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,189,137,48,82,7,39.1,51,115668,23,33,23,461111,0,0,66.5,35.0364,59.854,5.1094,0.095678,0.16345,0.013953,0.2834,79,29.1139,41.7721,29.1139,0.610241,0.194231,0.224609,-207.395682999995,-0.178981639525415,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5314.90928352511,1646055.22218631
42,SA100434,Doublegate,Subdivision,332.79797629,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1998,No,No,1408,1068,169,798,101,35.3,503,104138,75,379,167,425000,2,3,65,15.8239,74.7191,9.4569,0.336868,1.590655,0.201323,2.1116,621,12.0772,61.0305,26.8921,1.989917,2.230723,1.630859,-11737.395683,-10.129325223717,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,2 - Average,21159.847030446,14501719.2543182
43,SA100394,Ellington,Subdivision,18.4229492,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,319,237,68,162,7,42.5,90,200000,3,89,70,900000,0,0,49,28.6919,68.3544,2.9535,0.135544,0.322915,0.013953,0.4784,162,1.8518,54.9382,43.2098,0.079596,0.523837,0.683593,84124.604317,72.5991948688913,2 - Average,2 - Average,3 - High,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3736.20879970355,802407.854348262
44,SA100399,"Enclave at Foxdale, The",Subdivision,47.8785979,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,291,228,62,161,5,41.3,89,141100,7,73,50,511029,0,3,61.2,27.1929,70.614,2.1929,0.123584,0.320921,0.009966,0.4364,130,5.3846,56.1538,38.4615,0.185725,0.429664,0.488281,25224.604317,21.7687319800028,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6118.78534963656,2085488.36660113
45,SA100420,"Enclave at Wellington, The",Subdivision,45.26075799,Findley Oaks Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,320,224,46,155,23,35.4,87,108582,9,81,50,367647,3,3,67,20.5357,69.1964,10.2678,0.091691,0.308961,0.045845,0.4799,140,6.4285,57.8571,35.7142,0.23879,0.476751,0.488281,-7293.39568,-6.29417111373023,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,8040.70489791331,1971571.92500302
46,SA100364,"Estates at Wellington, The",Subdivision,36.28730368,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,2001,No,No,111,81,24,48,9,34.2,34,116269,6,26,12,425000,3,0,62.5,29.6296,59.2592,11.1111,0.047839,0.095678,0.017939,0.1664,44,13.6363,59.0909,27.2727,0.159193,0.153031,0.117187,393.604317000005,0.339678941055603,1 - Low,1 - Low,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7178.0564082115,1580310.87636598
47,SA100321,Evergreen Trace,Subdivision,20.56957884,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,271,202,53,116,33,37.6,102,93840,8,75,53,275000,0,0,53.9,26.2376,57.4257,16.3366,0.105645,0.231223,0.065778,0.4064,136,5.8823,55.147,38.9705,0.212257,0.441436,0.517578,-22035.39568,-19.0164577675162,2 - Average,2 - Average,2 - Average,1 - Low,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,4388.59524240926,895920.173236601
48,SA100322,Fairway Ridge,Subdivision,52.66372161,Barnwell Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,1530,1282,327,602,353,48.1,735,83318,150,506,83,299383,2,0,41.9,25.507,46.9578,27.5351,0.651809,1.199968,0.703635,2.2946,739,20.2976,68.4709,11.2313,3.979835,2.978222,0.810546,-32557.39568,-28.0969014095686,2 - Average,3 - High,1 - Low,1 - Low,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,2 - Average,1 - Low,7133.43401685825,2294031.71280356
49,SA100400,"Falls of Autry Mill, The",Subdivision,280.52328444,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,2005,No,No,686,537,143,377,17,41,192,200000,25,193,158,807432,3,0,51.5,26.6294,70.2048,3.1657,0.285042,0.751475,0.033886,1.0288,376,6.6489,51.3297,42.0212,0.663305,1.135962,1.542968,84124.604317,72.5991948688913,2 - Average,2 - Average,3 - High,3 - High,3 - High,2 - Average,2 - Average,2 - Average,1 - Low,1 - Low,1 - Low,2 - Average,21874.4090188116,12219589.3513915
50,SA100269,Farmbrook,Subdivision,189.84757706,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,466,372,80,272,20,38,151,98635,30,111,68,512931,3,3,63.7,21.5053,73.1182,5.3763,0.159464,0.542178,0.039866,0.6988,209,14.354,53.11,32.5358,0.795967,0.653325,0.664062,-17240.39568,-14.8783920705345,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,21100.6908315565,8269608.45298749
51,SA100325,Fox Creek,Subdivision,37.71693495,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1993,No,No,310,248,53,181,14,37.8,102,98974,20,74,45,512500,3,3,63.8,21.3709,72.9838,5.6451,0.105645,0.360787,0.027906,0.4649,139,14.3884,53.2374,32.3741,0.530644,0.43555,0.439453,-16901.39568,-14.5858364352318,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5791.76756836025,1643290.43913782
52,SA100490,"Gates at Johns Creek, The",Mixed,53.79678276,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,1348,1019,240,733,46,38.3,382,133058,45,347,227,503571,0,0,60.9,23.5525,71.9332,4.5142,0.478392,1.46109,0.091691,2.0216,619,7.2697,56.0581,36.672,1.19395,2.042377,2.216796,17182.604317,14.8285183543247,2 - Average,3 - High,2 - Average,2 - Average,(no data),3 - High,2 - Average,2 - Average,1 - Low,2 - Average,2 - Average,2 - Average,8508.16622732695,2343374.10859116
53,SA100328,Glastonberry,Subdivision,72.76432714,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,55,39,7,28,4,41.3,15,120708,2,18,6,450000,3,0,50.4,17.9487,71.7948,10.2564,0.013953,0.055812,0.007973,0.0824,26,7.6923,69.2307,23.0769,0.053064,0.105944,0.058593,4832.604317,4.17051807117064,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,9544.57848461996,3169406.44419539
54,SA100402,Glenhurst,Subdivision,74.55095712,Wilson Creek Elementary School,River Trail Middle School,Northview High School,1998,No,No,1857,1426,297,980,149,36.4,672,95572,129,332,358,356993,2,3,61.6,20.8274,68.7237,10.4488,0.59201,1.953436,0.297002,2.785,819,15.7509,40.5372,43.7118,3.422658,1.95409,3.496093,-20303.39568,-17.5217487399516,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,8639.76732811774,3247312.90535333
55,SA100383,Glenside,Subdivision,7.63965202,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,3,2,1,1,0,0,1,0,0,1,1,625000,3,0,44.4,50,50,0,0.001993,0.001993,0,0.0044,2,0,50,50,0,0.005885,0.009765,,,(no data),(no data),(no data),3 - High,3 - High,2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,2352.8222546952,332737.164364559
56,SA100329,Hampton Square,Subdivision,41.52737272,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,662,471,151,279,41,35.3,227,102578,55,171,53,297917,3,0,70.6,32.0594,59.2356,8.7048,0.300988,0.556131,0.081725,0.9928,279,19.7132,61.2903,18.9964,1.459273,1.006474,0.517578,-13297.395683,-11.4755989436943,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,2 - Average,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,7322.53637051235,1807911.15711301
57,SA100454,Hartridge,Subdivision,76.78170303,Hillside Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,64,52,11,38,3,46.5,23,136521,1,24,12,576923,3,3,22.5,21.1538,73.0769,5.7692,0.021926,0.075745,0.005979,0.0959,37,2.7027,64.8648,32.4324,0.026532,0.141259,0.117187,20645.604317,17.8170734134795,2 - Average,1 - Low,2 - Average,3 - High,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,8698.10398315926,3344392.92573433
58,SA100471,Haynes Bridge Manor,Subdivision,13.6432416,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,298,229,44,155,30,49,101,131248,13,102,44,565476,0,3,27.8,19.2139,67.6855,13.1004,0.087705,0.308961,0.059799,0.4469,159,8.1761,64.1509,27.6729,0.344919,0.600353,0.429687,15372.60432,13.2664956407612,2 - Average,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3161.45713506157,594164.618980661
59,SA100517,Haynes Landing,Subdivision,52.85142038,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,66,48,11,32,5,37,18,114055,3,21,9,342857,3,0,41.8,22.9166,66.6666,10.4166,0.021926,0.063785,0.009966,0.0989,33,9.0909,63.6363,27.2727,0.079596,0.123602,0.08789,-1820.39568,-1.57099414614302,2 - Average,1 - Low,2 - Average,1 - Low,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7526.46669250513,2301892.65837817
60,SA100330,Highgate,Subdivision,36.80053701,Medlock Bridge Elementary School,River Trail Middle School,Northview High School,,No,No,628,481,170,294,17,43.7,190,129682,39,129,159,592342,3,0,56.9,35.343,61.1226,3.5343,0.338861,0.58603,0.033886,0.9418,327,11.9266,39.4495,48.6238,1.034757,0.75927,1.552734,13806.60432,11.9150439449378,2 - Average,2 - Average,2 - Average,3 - High,3 - High,3 - High,2 - Average,1 - Low,1 - Low,2 - Average,1 - Low,2 - Average,4970.1254031052,1603008.6453659
61,SA100403,Highland Park,Subdivision,49.54259756,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,658,480,132,338,10,36,195,123902,32,165,83,401020,3,3,57.2,27.5,70.4166,2.0833,0.263115,0.673736,0.019933,0.9868,280,11.4285,58.9285,29.6428,0.849031,0.971159,0.810546,8026.604317,6.92692721322684,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7296.48147953977,2158055.7256308
62,SA100293,Hillbrooke,Subdivision,104.558256,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,180,132,40,78,14,34.7,62,115939,10,42,20,412500,3,0,62.6,30.303,59.0909,10.606,0.079732,0.155477,0.027906,0.2699,72,13.8888,58.3333,27.7777,0.265322,0.247204,0.195312,63.6043170000048,0.054890269521933,1 - Low,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,13041.3098458563,4554537.24802246
63,SA100473,"Homestead, The",Subdivision,37.5878674,Shakerag Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,657,497,117,357,23,38.4,201,131129,22,169,111,503378,0,0,61,23.5412,71.8309,4.6277,0.233216,0.711608,0.045845,0.9853,302,7.2847,55.9602,36.7549,0.583709,0.994702,1.083984,15253.60432,13.1637991198142,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7455.97184456095,1881942.49240218
64,SA100444,Hunters Close,Subdivision,52.47759477,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,489,373,126,221,26,38.4,156,109199,44,119,46,369444,3,3,63,33.7801,59.2493,6.9705,0.251156,0.440519,0.051825,0.7333,209,21.0526,56.9377,22.0095,1.167418,0.700412,0.449218,-6676.39568,-5.7617025975597,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,9200.44205750867,2285780.04497566
65,SA100332,Hunters Forest,Subdivision,34.95606419,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,89,63,20,38,5,35.7,32,101569,7,23,7,295000,3,0,71,31.746,60.3174,7.9365,0.039866,0.075745,0.009966,0.1334,37,18.9189,62.1621,18.9189,0.185725,0.135373,0.068359,-14306.395683,-12.3463618818079,2 - Average,1 - Low,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6679.48394974171,1522663.83716504
66,SA100333,Huntington,Subdivision,44.04584247,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,72,50,14,35,1,36.6,20,129300,1,14,15,471429,0,0,51.9,28,70,2,0.027906,0.069765,0.001993,0.1079,30,3.3333,46.6666,50,0.026532,0.082401,0.146484,13424.60432,11.5853794827382,2 - Average,1 - Low,2 - Average,2 - Average,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5586.51914568832,1922444.41088763
67,SA100331,Hunts Pointe,Subdivision,22.41333212,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,17,13,4,9,0,40,6,200000,0,5,4,875000,0,0,50.5,30.7692,69.2307,0,0.007973,0.017939,0,0.0254,9,0,55.5555,44.4444,0,0.029429,0.039062,84124.604317,72.5991948688913,2 - Average,(no data),3 - High,3 - High,(no data),2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,4001.76344829114,976256.024145812
68,SA100509,Inisfree,Subdivision,5.88534372,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,Yes,3,2,1,1,0,0,1,0,0,1,1,0,0,0,55.6,50,50,0,0.001993,0.001993,0,0.0044,2,0,50,50,0,0.005885,0.009765,,,(no data),(no data),(no data),(no data),(no data),3 - High,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,2200.61514427462,256365.569145872
69,SA100334,Jones Bridge Landing,Subdivision,10.36936419,Barnwell Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,68,49,9,35,5,41.1,27,120708,3,22,7,430000,3,0,49.9,18.3673,71.4285,10.204,0.017939,0.069765,0.009966,0.1019,32,9.375,68.75,21.875,0.079596,0.129487,0.068359,4832.604317,4.17051807117064,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,2925.40454396596,451574.563712234
70,SA100277,Jones Bridge Plantation,Subdivision,42.01931728,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,465,354,105,221,28,37.3,150,100000,26,98,45,296875,0,3,57.5,29.661,62.4293,7.9096,0.209296,0.440519,0.055812,0.6973,169,15.3846,57.9881,26.6272,0.689838,0.576809,0.439453,-15875.395683,-13.7004025655544,2 - Average,2 - Average,2 - Average,1 - Low,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,10186.3360644269,2083293.44888397
71,SA100336,Jones Bridge Woods,Subdivision,9.91289091,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,288,205,66,121,18,35.1,115,102983,24,74,23,297222,3,0,70.7,32.1951,59.0243,8.7804,0.131557,0.241189,0.035879,0.4319,121,19.8347,61.157,19.0082,0.636773,0.43555,0.224609,-12892.395683,-11.1260855740848,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3048.30306074731,431600.789213053
72,SA100338,Kingston Crossing,Subdivision,61.14588138,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,1991,No,No,712,544,134,379,31,48.5,241,104722,84,166,160,558239,0,0,52.5,24.6323,69.6691,5.6985,0.267102,0.755461,0.061792,1.0678,410,20.4878,40.4878,39.0243,2.228707,0.977045,1.5625,-11153.395683,-9.62533557469984,2 - Average,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,2 - Average,1 - Low,2 - Average,1 - Low,2 - Average,7781.79787309638,2679314.60368266
73,SA100387,Lakehill,Subdivision,34.24989584,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,57,41,14,25,2,39.2,15,109973,7,10,7,483333,0,0,66,34.1463,60.9756,4.878,0.027906,0.049832,0.003986,0.0854,24,29.1666,41.6666,29.1666,0.185725,0.058858,0.068359,-5902.39568,-5.09374371341709,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5473.9415027663,1491867.44370025
74,SA100447,Lakeview Estates,Subdivision,82.68076071,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,2004,No,No,60,46,11,32,3,49,18,106004,7,14,13,571429,0,0,52.9,23.913,69.5652,6.5217,0.021926,0.063785,0.005979,0.0899,34,20.5882,41.1764,38.2352,0.185725,0.082401,0.126953,-9871.395683,-8.51897473559024,2 - Average,1 - Low,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,8270.9635258808,3601381.06818183
75,SA100339,Laurel Ridge,Subdivision,18.74502126,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,2004,No,No,9,7,2,4,1,30,3,150000,1,2,1,450000,3,0,63,28.5714,57.1428,14.2857,0.003986,0.007973,0.001993,0.0134,4,25,50,25,0.026532,0.011771,0.009765,34124.60432,29.4493961516685,1 - Low,(no data),3 - High,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3657.1219089074,816490.783566145
76,SA100340,Laurelwood,Subdivision,60.41120458,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,971,734,173,528,33,38.3,283,132064,33,250,164,504808,0,0,60.9,23.5694,71.9346,4.4959,0.344841,1.052463,0.065778,1.4562,447,7.3825,55.9284,36.689,0.875563,1.471453,1.601562,16188.60432,13.9707003558263,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,2 - Average,2 - Average,1 - Low,1 - Low,1 - Low,2 - Average,8445.29681133361,2631512.07838448
77,SA100401,Lexington Woods,Subdivision,73.69755684,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,302,213,69,130,14,37.4,83,138380,21,53,44,637019,0,0,47.9,32.3943,61.0328,6.5727,0.137537,0.259129,0.027906,0.4529,118,17.7966,44.9152,37.2881,0.557176,0.311948,0.429687,22504.604317,19.4213829297859,2 - Average,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7174.54407175885,3165421.08792495
78,SA100341,Linkwood,Subdivision,37.07093266,State Bridge Crossing Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,26,21,5,15,1,40,11,92174,2,6,4,450000,3,3,60.8,23.8095,71.4285,4.7619,0.009966,0.029899,0.001993,0.0389,12,16.6666,50,33.3333,0.053064,0.035314,0.039062,-23701.39568,-20.4542090607741,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5079.1007444332,1614644.56314193
79,SA100388,Long Indian Creek,Subdivision,103.38951803,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,569,413,85,272,56,43.9,223,102893,47,125,99,279500,3,0,55.9,20.5811,65.8595,13.5593,0.16943,0.542178,0.111624,0.8533,271,17.3431,46.1254,36.5313,1.247015,0.735726,0.966796,-12982.395683,-11.2037552117758,2 - Average,2 - Average,2 - Average,1 - Low,3 - High,3 - High,1 - Low,1 - Low,1 - Low,2 - Average,1 - Low,1 - Low,10528.0128180913,4503585.56398504
80,SA100472,Long Pointe,Townhomes,7.55070168,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,70,53,10,36,7,49,38,130065,3,24,10,578125,0,3,27.8,18.8679,67.9245,13.2075,0.019933,0.071758,0.013953,0.1049,37,8.1081,64.8648,27.027,0.079596,0.141259,0.097656,14189.60432,12.2455714031117,2 - Average,1 - Low,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3640.72546218158,328878.061743395
