OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Population__1_yr_and_older,Population_did_not_move,Percent_of_pop_did_not_move,Population_who_moved_last_year,Percent_of_population_who_moved,GlobalID,Pop_Chng_per_SqMi_2000_2010,Pop_Moved_From_Diff_State,Pct_Pop_Moved_Diff_State,Pop_Who_Moved_From_Abroad,Pct_Pop_Moved_From_Abroad
879,090902,13057090902,909.02,ARC 10,2015-05-27T12:35:43.000Z,13034,10685,81.98,2303,17.67,{1E43DC4C-DC94-4EF2-A028-A167916D3EB1},814.2,350,2.69,46,0.35
880,091001,13057091001,910.01,ARC 10,2015-05-27T12:35:43.000Z,3823,2584,67.59,1224,32.02,{DED7CEF5-788B-431F-BFA2-C5DAE26C9E70},394.9,38,0.99,15,0.39
881,091003,13057091003,910.03,ARC 10,2015-05-27T12:35:43.000Z,6997,5275,75.39,1703,24.34,{E3D83A27-E8C5-4273-AFF1-4F6AABC386A8},321.8,145,2.07,19,0.27
882,091102,13057091102,911.02,ARC 10,2015-05-27T12:35:43.000Z,7357,6537,88.85,799,10.86,{DF46914E-C3B5-4CC8-9F8E-744932AC4DE3},303.5,144,1.96,21,0.29
883,091101,13057091101,911.01,ARC 10,2015-05-27T12:35:43.000Z,5088,4477,87.99,611,12.01,{7FE33FA6-2FDC-40F2-98EB-642F8296063C},16.3,178,3.5,0,0
884,091103,13057091103,911.03,ARC 10,2015-05-27T12:35:43.000Z,7744,6699,86.51,1033,13.34,{2827775B-89C8-48F2-9E7F-B47CA1090318},81.9,117,1.51,12,0.15
885,090701,13057090701,907.01,ARC 10,2015-05-27T12:35:43.000Z,18935,16264,85.89,2519,13.3,{319F66E2-2B7A-4CDE-A68F-4DC970605B83},798.2,255,1.35,152,0.8
886,110601,13297110601,1106.01,ARC 20,2015-05-27T12:35:43.000Z,4656,4350,93.43,306,6.57,{5DD4BF6C-F530-4F13-AB31-9CC843464212},100.1,10,0.21,0,0
887,110507,13297110507,1105.07,ARC 20,2015-05-27T12:35:43.000Z,7037,5996,85.21,1041,14.79,{C1F7F4CC-445D-46E0-A87C-751B9148B630},271.5,92,1.31,0,0
888,110506,13297110506,1105.06,ARC 20,2015-05-27T12:35:43.000Z,5150,4794,93.09,356,6.91,{CC14871E-6006-4E55-9AB5-BF8A942C59DE},134.1,9,0.17,0,0
889,110603,13297110603,1106.03,ARC 20,2015-05-27T12:35:43.000Z,5540,4837,87.31,703,12.69,{9E9E4F3E-FD0C-4173-B9FE-CE5E7FFAD8C6},80.3,67,1.21,0,0
890,110602,13297110602,1106.02,ARC 20,2015-05-27T12:35:43.000Z,4645,4111,88.5,534,11.5,{260BFA93-3D1B-40BC-9BA7-A0D429090B18},42.8,7,0.15,0,0
891,110504,13297110504,1105.04,ARC 20,2015-05-27T12:35:43.000Z,4699,3914,83.29,775,16.49,{75ADCA37-CA88-4A8F-8688-0295C1FE92CC},79.2,138,2.94,10,0.21
892,110508,13297110508,1105.08,ARC 20,2015-05-27T12:35:43.000Z,4479,4212,94.04,267,5.96,{C2A4014B-5186-4E7F-A892-823B296390B5},166.6,0,0,0,0
893,110503,13297110503,1105.03,ARC 20,2015-05-27T12:35:43.000Z,3036,2720,89.59,316,10.41,{5BB22C11-C2B9-426E-B40A-853A472A87BE},177.9,133,4.38,0,0
894,110505,13297110505,1105.05,ARC 20,2015-05-27T12:35:43.000Z,4543,4034,88.8,509,11.2,{A69672EC-083F-4B8F-A95A-5415EA379CD3},183.2,191,4.2,0,0
895,110800,13297110800,1108,ARC 20,2015-05-27T12:35:43.000Z,6173,5175,83.83,998,16.17,{BF5F7DF6-FFDA-4759-8332-341D3737433E},21.8,184,2.98,0,0
896,110700,13297110700,1107,ARC 20,2015-05-27T12:35:43.000Z,6033,4966,82.31,1067,17.69,{8D048C59-D7ED-4953-90C0-4562114A5A30},83.1,29,0.48,0,0
897,110400,13297110400,1104,ARC 20,2015-05-27T12:35:43.000Z,6982,4505,64.52,2477,35.48,{DF428BE7-8441-41A7-8F61-5EFE769BEA56},25.7,157,2.25,0,0
898,110300,13297110300,1103,ARC 20,2015-05-27T12:35:43.000Z,6275,5033,80.21,1242,19.79,{CCA998EE-C08E-41EA-8E1B-6CE0B87FE4E2},99.8,13,0.21,0,0
899,110200,13297110200,1102,ARC 20,2015-05-27T12:35:43.000Z,4090,3815,93.28,275,6.72,{FE8C6E76-470E-432B-A924-3BDFFFC0424D},20.1,40,0.98,0,0
900,110100,13297110100,1101,ARC 20,2015-05-27T12:35:43.000Z,8422,7436,88.29,974,11.56,{9622459C-3E00-4007-9716-FA95E0B26E7A},69.4,296,3.51,12,0.14
901,091005,13057091005,910.05,ARC 10,2015-05-27T12:35:43.000Z,7488,5936,79.27,1552,20.73,{62082CDE-809F-4EF0-AE53-0A46882E36EC},127.9,92,1.23,0,0
902,091006,13057091006,910.06,ARC 10,2015-05-27T12:35:43.000Z,5071,4373,86.24,698,13.76,{30CDED44-8D3B-4C5C-88BA-4E87EF8185D2},72.1,55,1.08,0,0
903,090400,13057090400,904,ARC 10,2015-05-27T12:35:43.000Z,7780,6268,80.57,1380,17.74,{D620A7CE-DD89-48D3-A667-4DC5410A627B},238.8,151,1.94,132,1.7
904,090601,13057090601,906.01,ARC 10,2015-05-27T12:35:43.000Z,7111,5734,80.64,1323,18.6,{5D7C4BA0-FFCC-4077-BD1D-CC755C978A37},249.9,375,5.27,54,0.76
905,090901,13057090901,909.01,ARC 10,2015-05-27T12:35:43.000Z,7181,6293,87.63,888,12.37,{95363938-E0E5-4B7E-9AF8-4C542605E361},126.4,155,2.16,0,0
906,090602,13057090602,906.02,ARC 10,2015-05-27T12:35:43.000Z,8381,7797,93.03,584,6.97,{8C65D3DE-D57C-4A20-9BCE-26B6C4FF92E5},202.6,150,1.79,0,0
907,090200,13057090200,902,ARC 10,2015-05-27T12:35:43.000Z,7489,6767,90.36,720,9.61,{5C2BEA55-A999-45BF-9E73-1EF9C6E7D620},24.5,43,0.57,2,0.03
908,090702,13057090702,907.02,ARC 10,2015-05-27T12:35:43.000Z,7267,6024,82.9,1243,17.1,{32431F32-4528-4B5D-8693-B8E9F044CECC},217.3,40,0.55,0,0
909,090502,13057090502,905.02,ARC 10,2015-05-27T12:35:43.000Z,12505,11316,90.49,1130,9.04,{EE1ECBE5-DA38-4E09-B3FE-842F46F918DB},196.7,244,1.95,59,0.47
910,090100,13057090100,901,ARC 10,2015-05-27T12:35:43.000Z,7460,6290,84.32,1167,15.64,{CAA1D70E-66B1-4A8D-B8A7-9DDB0F2EE6FF},44.5,90,1.21,3,0.04
911,090300,13057090300,903,ARC 10,2015-05-27T12:35:43.000Z,11188,9247,82.65,1897,16.96,{15407483-2468-407F-91A0-9BE0C067FE0B},181.7,371,3.32,44,0.39
912,180206,13013180206,1802.06,ARC 20,2015-05-27T12:35:43.000Z,3401,2215,65.13,1150,33.81,{BADF2A7E-BEBD-491F-8F1E-347AD0515DEC},158.5,487,14.32,36,1.06
913,180205,13013180205,1802.05,ARC 20,2015-05-27T12:35:43.000Z,4466,3493,78.21,973,21.79,{2F064691-B4E5-4C2B-8F7F-266DFC8AD8A6},93.7,0,0,0,0
914,180402,13013180402,1804.02,ARC 20,2015-05-27T12:35:43.000Z,5875,5043,85.84,832,14.16,{38FE73F9-5D49-4A53-8ECE-9CA1ABE8CCE8},139.2,217,3.69,0,0
915,180303,13013180303,1803.03,ARC 20,2015-05-27T12:35:43.000Z,4214,3563,84.55,651,15.45,{A55AC99F-C558-47B2-971A-4E6293F5095F},124.6,103,2.44,0,0
916,180106,13013180106,1801.06,ARC 20,2015-05-27T12:35:43.000Z,2338,1873,80.11,465,19.89,{6A2B9146-5245-4506-A9D9-825CAD5E6719},-40.4,0,0,0,0
917,180103,13013180103,1801.03,ARC 20,2015-05-27T12:35:43.000Z,3565,3274,91.84,291,8.16,{13CCDA23-9F06-4257-9D4E-EFD81611FFB4},256.1,35,0.98,0,0
918,180401,13013180401,1804.01,ARC 20,2015-05-27T12:35:43.000Z,4044,3453,85.39,591,14.61,{006AD17F-B378-482A-A287-D012BDCFE40C},152.5,62,1.53,0,0
919,180203,13013180203,1802.03,ARC 20,2015-05-27T12:35:43.000Z,3076,2547,82.8,529,17.2,{4F22AC59-8E21-4A9A-B081-6F1838F90938},188.2,24,0.78,0,0
920,180503,13013180503,1805.03,ARC 20,2015-05-27T12:35:43.000Z,4675,4148,88.73,527,11.27,{70B530EA-502E-4C05-876A-5B5337082A7F},335.8,291,6.22,0,0
921,180502,13013180502,1805.02,ARC 20,2015-05-27T12:35:43.000Z,4212,3842,91.22,322,7.64,{9EFEC57E-153B-493A-BEFD-04049EC98060},100.7,0,0,48,1.14
922,180204,13013180204,1802.04,ARC 20,2015-05-27T12:35:43.000Z,2165,1857,85.77,308,14.23,{EFF0379A-2DA9-405A-A0FF-B36A028B87B5},88.4,31,1.43,0,0
923,180501,13013180501,1805.01,ARC 20,2015-05-27T12:35:43.000Z,5179,4692,90.6,487,9.4,{2706969B-48EF-4A99-9593-4F1E40332093},251,105,2.03,0,0
924,180301,13013180301,1803.01,ARC 20,2015-05-27T12:35:43.000Z,2110,1965,93.13,145,6.87,{55112077-16E7-4107-AA52-575A6ECE90F8},86.1,0,0,0,0
925,180302,13013180302,1803.02,ARC 20,2015-05-27T12:35:43.000Z,5051,4642,91.9,409,8.1,{E7B9A2D9-6C54-46E5-BA35-0F34CE1A3C7F},244.7,21,0.42,0,0
926,180105,13013180105,1801.05,ARC 20,2015-05-27T12:35:43.000Z,2687,2649,98.59,38,1.41,{5179A6FE-F068-48D1-8EA6-6C9921090198},75.9,38,1.41,0,0
927,180104,13013180104,1801.04,ARC 20,2015-05-27T12:35:43.000Z,2032,1744,85.83,288,14.17,{46AF6F30-7ED2-4CCC-B780-ADD3AE6AC7E0},3.8,33,1.62,0,0
928,180107,13013180107,1801.07,ARC 20,2015-05-27T12:35:43.000Z,3997,2944,73.66,1053,26.34,{AA4F9225-43C7-4A6E-AF70-D7ECE33CE298},24.7,37,0.93,0,0
929,180108,13013180108,1801.08,ARC 20,2015-05-27T12:35:43.000Z,3712,3097,83.43,598,16.11,{94888418-1B18-4DF2-A26F-7ADD37127431},-4.4,33,0.89,17,0.46
930,120104,13223120104,1201.04,ARC 20,2015-05-27T12:35:43.000Z,2143,2009,93.75,134,6.25,{8DF70255-85B7-4C6D-A33C-16FC8355B5CC},30.1,8,0.37,0,0
931,120604,13223120604,1206.04,ARC 20,2015-05-27T12:35:43.000Z,5201,5013,96.39,188,3.61,{40793770-1733-4B21-B944-CA4A0FA5B53C},226.3,33,0.63,0,0
932,120601,13223120601,1206.01,ARC 20,2015-05-27T12:35:43.000Z,4445,3540,79.64,905,20.36,{3FB5215F-0B62-483E-902C-E785FB057ED2},366.3,502,11.29,0,0
933,120603,13223120603,1206.03,ARC 20,2015-05-27T12:35:43.000Z,6524,5500,84.3,1024,15.7,{14978BEB-4780-4880-9848-7BD4F3BD8E09},287.5,93,1.43,0,0
934,120501,13223120501,1205.01,ARC 20,2015-05-27T12:35:43.000Z,5872,5250,89.41,606,10.32,{FE81F880-8118-4697-9A67-F6907E45DF75},307.5,191,3.25,16,0.27
935,120203,13223120203,1202.03,ARC 20,2015-05-27T12:35:43.000Z,5414,4838,89.36,576,10.64,{969A84D4-8BA0-44DA-95D1-C198F862AADC},203.8,19,0.35,0,0
936,120101,13223120101,1201.01,ARC 20,2015-05-27T12:35:43.000Z,10973,10352,94.34,602,5.49,{4C6D5E0C-F709-4AA2-85BF-F68E4F364EF6},496.5,223,2.03,19,0.17
937,120502,13223120502,1205.02,ARC 20,2015-05-27T12:35:43.000Z,10953,9372,85.57,1511,13.8,{89EFE9A5-0123-4C2C-B733-2921D9B918EC},174.7,0,0,70,0.64
938,120503,13223120503,1205.03,ARC 20,2015-05-27T12:35:43.000Z,4668,3893,83.4,775,16.6,{6328C9E8-CED7-4367-BA79-0A47A6DE5673},231.1,13,0.28,0,0
939,120605,13223120605,1206.05,ARC 20,2015-05-27T12:35:43.000Z,4925,3908,79.35,1017,20.65,{A28834A8-99D4-42B4-9405-D62F4C297AAF},164.4,165,3.35,0,0
940,120602,13223120602,1206.02,ARC 20,2015-05-27T12:35:43.000Z,11581,9334,80.6,2247,19.4,{67CEE82E-E9E0-4C35-B771-4A116431B525},310.7,278,2.4,0,0
941,120204,13223120204,1202.04,ARC 20,2015-05-27T12:35:43.000Z,5989,5059,84.47,895,14.94,{D35AFDC4-C3C4-453C-9A18-9EB5982AC6F5},409.7,0,0,35,0.58
942,120301,13223120301,1203.01,ARC 20,2015-05-27T12:35:43.000Z,5282,3498,66.22,1771,33.53,{EEAA391D-AC0C-4558-8832-602B60A6AA18},240.3,328,6.21,13,0.25
943,120303,13223120303,1203.03,ARC 20,2015-05-27T12:35:43.000Z,1785,1748,97.93,37,2.07,{334D294E-7CDA-4CC4-A4ED-A696A76AF430},32.9,0,0,0,0
944,120102,13223120102,1201.02,ARC 20,2015-05-27T12:35:43.000Z,9115,7999,87.76,1085,11.9,{BA9181F8-A011-4658-898C-E5A77FBB708B},490.2,22,0.24,31,0.34
945,120103,13223120103,1201.03,ARC 20,2015-05-27T12:35:43.000Z,7620,6132,80.47,1488,19.53,{B498603C-B95E-4BCC-A83E-18E63FB1CE9B},189,657,8.62,0,0
946,120302,13223120302,1203.02,ARC 20,2015-05-27T12:35:43.000Z,12861,10401,80.87,2435,18.93,{3D4B2A41-748E-4A1A-9131-B2C52F7016D0},243.1,389,3.02,25,0.19
947,120202,13223120202,1202.02,ARC 20,2015-05-27T12:35:43.000Z,6424,5208,81.07,1202,18.71,{8718BAE0-D8A8-4129-A04B-026C86216EA6},463.1,276,4.3,14,0.22
948,120400,13223120400,1204,ARC 20,2015-05-27T12:35:43.000Z,15359,13467,87.68,1876,12.21,{7BAA0BF3-7BA5-4A9D-9EA5-9FFC44D749D8},105.9,35,0.23,16,0.1
