OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,AsianPacif,Black,Hispanic,Other_Race,AgeOvr65,Poverty,AsianCat,BlackCat,HispanCat,OthCat,RaceCat,AgeCat,PovCat,ETA,Population,GlobalID,last_edited_date
17,13,113,140304,13113140304,1403.04,Census Tract 1403.04,2.5,5.6,6.9,2.4,13.9,4.3,3,3,3,3,3,2,3,4,5757,{BFC9C330-AD82-40E0-B6FB-C0B1C03DAC70},
18,13,113,140303,13113140303,1403.03,Census Tract 1403.03,3.9,6,7.1,1.9,13.1,6.5,3,3,3,3,3,2,3,4,4550,{CDA3981E-C684-44E2-895E-9643C73AF9FF},
19,13,113,140208,13113140208,1402.08,Census Tract 1402.08,8.9,11.3,9.2,3.2,9.5,10.2,2,3,3,2,2,3,3,4,7713,{555FD1B9-0184-406E-9351-FB690DF4517F},
20,13,113,140207,13113140207,1402.07,Census Tract 1402.07,5.6,5.3,4.9,1.6,13.2,1.3,3,3,3,3,3,2,3,4,5530,{CAD5E199-672F-4B73-9EE8-4BF39C11FF90},
21,13,067,030334,13067030334,303.34,Census Tract 303.34,7.6,2.9,3.2,1.2,14.8,5.9,2,3,3,3,2,2,3,4,3246,{E1776D67-1046-43F8-94E1-355B9897A2DB},
22,13,067,030337,13067030337,303.37,Census Tract 303.37,6.2,2.9,3.1,1.7,12.6,3.4,3,3,3,3,3,2,3,4,4831,{E6140B0E-7D26-4001-A3B0-0EEEC4B804A6},
23,13,067,030320,13067030320,303.20,Census Tract 303.20,10.7,11.2,4.8,2.5,8.7,8.4,2,3,3,3,2,3,3,4,7206,{BF3098B5-388D-4654-BC8B-FFBC4D7D3F23},
24,13,067,031405,13067031405,314.05,Census Tract 314.05,2.9,43.3,18.2,2.6,8.1,16.3,3,3,3,3,3,3,3,4,7681,{16F8D47F-8AD7-42EC-BDF0-F4E76E325954},
25,13,067,031406,13067031406,314.06,Census Tract 314.06,1.5,61,10.8,2.3,12.8,13.2,3,2,3,3,2,2,3,4,7587,{DC3665D3-4676-40D7-82DF-2F2C360A8343},
26,13,067,030106,13067030106,301.06,Census Tract 301.06,3,30.5,15.1,3.1,6.7,15.8,3,3,3,3,3,3,3,4,6857,{E9FFD7D7-DB23-4AFB-960A-E3FD0B7D4EAF},
27,13,067,030220,13067030220,302.20,Census Tract 302.20,5.5,15.6,6.9,2.5,6.6,9.2,3,3,3,3,3,3,3,4,1664,{4ECDED4D-DF14-4682-BFE8-5C07CFC55BDF},
28,13,067,031206,13067031206,312.06,Census Tract 312.06,6.7,36.8,5.8,2.7,6.4,6.9,3,3,3,3,3,3,3,4,8713,{D9D26C2A-1683-42F8-912F-67DA5AC2420E},
29,13,067,031205,13067031205,312.05,Census Tract 312.05,3.2,38.1,4.9,2.4,5.6,6.2,3,3,3,3,3,3,3,4,5306,{F637D7F4-67EB-4C28-BD5B-F9D1F07229AE},
30,13,067,031108,13067031108,311.08,Census Tract 311.08,2.3,47,10.9,3.4,7.5,17.3,3,3,3,2,2,3,3,4,4910,{090B9F27-7557-4287-A343-B4D9653954BE},
31,13,067,030326,13067030326,303.26,Census Tract 303.26,3.5,4.2,5.1,2.8,8.5,0.8,3,3,3,3,3,3,3,4,4059,{E95D5F77-C1BC-4F44-9477-5639B338B3C9},
32,13,067,031311,13067031311,313.11,Census Tract 313.11,0.6,69.9,20.1,1.6,3.8,26.1,3,2,3,3,2,3,2,3,9151,{78B13B80-ECC0-4A1E-B571-7F69D973920A},
33,13,067,030902,13067030902,309.02,Census Tract 309.02,0.8,19.2,41.6,1,9.9,23.4,3,3,1,3,1,3,2,3,5843,{03C7B762-EF4F-40BF-B2D6-77506CCD5AEC},
34,13,067,030107,13067030107,301.07,Census Tract 301.07,6,24.8,8.7,3.3,7.2,4.5,3,3,3,2,2,3,3,4,4648,{E65E8AA2-926B-4175-AF82-4621AA51BC5A},
